127.0.0.1 - - [06/Dec/2019:16:50:30 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:23 +0900] "GET /cop/boot/Coffe_files/sdk.js(1).%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:23 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:23 +0900] "GET /cop/boot/Coffe_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:23 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:23 +0900] "GET /cop/boot/3img/2.png HTTP/1.1" 200 12955
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:23 +0900] "GET /cop/boot/3img/1.png HTTP/1.1" 200 15225
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:23 +0900] "GET /cop/boot/wpvna_img/asd1.jpg HTTP/1.1" 200 2523
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:23 +0900] "GET /cop/boot/fonts/NanumBarunGothic.woff HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/Coffe4.jsp HTTP/1.1" 200 20095
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/Coffe_files/sdk.js(1).%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/Coffe_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/fonts/NanumBarunGothic.woff HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/4img/2.png HTTP/1.1" 200 17882
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/4img/4.png HTTP/1.1" 200 17139
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/4img/3.png HTTP/1.1" 200 36158
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:24 +0900] "GET /cop/boot/4img/1.png HTTP/1.1" 200 17103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/rufrhk2.jsp HTTP/1.1" 200 14293
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/html5.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/ac.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/Common.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/jquery-1.12.3.min.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/isotope.pkgd.min.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/swiper.jquery.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/style_ui.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/swipe.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/base.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/common.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/ac.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/jquery-1.12.3.min.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/Common.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/html5.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/wpvna_img/asd7.png HTTP/1.1" 200 146353
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_img/zpsiaa.jpg HTTP/1.1" 200 159783
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/isotope.pkgd.min.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/swiper.jquery.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/swipe.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_files/style_ui.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /Images/contents/tit_product_detail.gif HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:25 +0900] "GET /cop/boot/tkdvna_img/shu.jpg HTTP/1.1" 200 347455
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:31 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9044
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:44 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9044
0:0:0:0:0:0:0:1 - - [06/Dec/2019:16:52:45 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9044
